"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"1","Afghanistan",1955,"AFG",7971933,11078185984,0,0,0.154,0.048,44.828,12.795,1.11,9.501,1.605,1.155,NA,0.019,0.014,NA,0.062,0.008,NA,NA,NA,0,0.649,71.107,0.236,0,0,590.051,0.413,NA,NA,NA,0,0,0,0,NA,NA,12.641,1.586,NA,NA,NA,NA,0.092,0.011,NA,NA,NA,0,0.002,0.094,0.001,0,0,0.011,0,0,0,0.144,0.001,NA,0,0,0.204,0.004,NA,NA,NA,NA,NA,1389.64865660562,"Asie"
"2","Aland Islands",1955,"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,"Europe"
"3","Albania",1955,"ALB",1453732,2620052736,0.022,0.015,0.663,0.161,32.097,7.478,0.491,7.025,5.144,2.854,NA,0.456,0.253,NA,0.22,0.151,NA,NA,NA,0.076,9.819,101.932,0.713,0,0.106,284.51,8.923,NA,NA,NA,0,0,0.037,0.025,NA,NA,6.815,4.688,NA,NA,NA,NA,0.385,0.265,NA,NA,NA,0.02,0.009,0.055,0.005,0.006,0.004,0.015,0,0,0.001,0.069,0.024,NA,0,0.007,0.11,0.017,NA,NA,NA,NA,NA,1802.29418902521,"Europe"
"4","Algeria",1955,"DZA",10242297,22665783296,0.334,0.033,4.607,0.454,10.94,31.94,3.202,11.143,3.118,1.409,NA,0.45,0.203,NA,1.594,0.156,NA,NA,NA,2.27,31.858,338.975,15.535,0,1.339,606.026,12.714,NA,NA,NA,0,0,0,0,NA,NA,27.333,2.669,NA,NA,NA,NA,2.678,0.262,NA,NA,NA,0.311,0.062,0.234,0.036,0.168,0.012,0.051,0.007,0,0.018,0.148,0.034,NA,0,0,0.442,0.116,NA,NA,NA,NA,NA,2212.95899699062,"Afrique"
"5","American Samoa",1955,"ASM",19855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Océanie"
"6","Andorra",1955,"AND",6139,NA,0,0,0,0,NA,0.11,0.037,50,17.905,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,-1.795,NA,NA,NA,-1.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,17.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.001,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,"Europe"
"7","Angola",1955,"AGO",4938121,8094498304,0.036,0.007,0.414,0.066,18.922,225.054,-1.4,-0.618,45.575,27.803,NA,0.084,0.051,NA,0.084,0.017,NA,NA,NA,0.072,1.784,1400.003,0.506,0,0,6114.153,1.205,NA,NA,NA,0,0,0,0,NA,NA,224.64,45.491,NA,NA,NA,NA,0.293,0.059,NA,NA,NA,0.034,0.006,1.651,0.002,0.005,0.001,0.209,0,0,0,1.488,0.003,NA,0,0,3.632,0.013,NA,NA,NA,NA,NA,1639.18589763191,"Afrique"
"8","Anguilla",1955,"AIA",5775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Amérique"
"9","Antigua and Barbuda",1955,"ATG",50284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037,-0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,NA,NA,NA,"Amérique"
"10","Argentina",1955,"ARG",18700684,158009442304,0.923,0.049,39.56,2.81,7.645,81.843,6.107,8.064,4.376,0.518,NA,2.115,0.25,NA,3.21,0.172,NA,NA,NA,14.632,738.484,7382.085,329.212,0,27.433,7228.413,367.206,NA,NA,NA,0,0,1.227,0.066,NA,NA,42.283,2.261,NA,NA,NA,NA,34.2,1.829,NA,NA,NA,0.858,0.531,0.601,0.073,1.083,0.279,1.101,0.151,0,0.379,1.759,0.983,NA,0,0.224,0.684,1.479,NA,NA,NA,NA,NA,8449.39373896698,"Amérique"
"11","Armenia",1955,"ARM",1604375,NA,0.044,0.027,2.247,0.265,13.378,6.278,0.705,12.648,3.913,NA,NA,1.401,NA,NA,0.89,0.554,NA,NA,NA,0.345,33.363,146.397,12.741,0,0.852,117.431,19.426,NA,NA,NA,0,0,0.097,0.06,NA,NA,4.03,2.512,NA,NA,NA,NA,1.217,0.759,NA,NA,NA,0.041,0.03,0.046,0.02,0.026,0.013,0.022,0.006,0,0.012,0.029,0.052,NA,0,0.018,0.065,0.053,NA,NA,NA,NA,NA,NA,"Asie"
"12","Aruba",1955,"ABW",46481,NA,0,0,0.722,-0.151,-17.283,NA,NA,NA,NA,NA,NA,15.538,NA,NA,0,0,NA,NA,NA,0,7.194,NA,0,0,0,NA,7.194,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.722,15.538,NA,NA,NA,0,0.01,NA,0,0,0.003,NA,0,0,0,NA,0.019,NA,0,0,NA,0.031,NA,NA,NA,NA,NA,NA,"Amérique"
"13","Australia",1955,"AUS",9209844,118700326912,0.985,0.107,70.674,2.836,4.18,370.792,23.904,6.891,40.26,3.124,NA,7.674,0.595,NA,51.248,5.565,NA,NA,NA,11.462,1657.225,6041.86,1564.381,0,0,4384.635,81.382,NA,NA,NA,0,0,0,0,NA,NA,300.118,32.587,NA,NA,NA,NA,18.441,2.002,NA,NA,NA,0.916,0.95,2.721,1.172,0.849,0.627,0.901,0.718,0,0,1.067,0.218,NA,0,0,4.852,0.798,NA,NA,NA,NA,NA,12888.418838799,"Océanie"
"14","Austria",1955,"AUT",6946266,55950213120,0.919,0.132,29.07,4.564,18.626,27.861,4.454,19.031,4.011,0.498,NA,4.185,0.52,NA,19.199,2.764,NA,NA,NA,9.951,1798.741,2130.919,1710.179,0,7.482,360.501,71.129,NA,NA,NA,0,0,1.51,0.217,NA,NA,-1.209,-0.174,NA,NA,NA,NA,7.442,1.071,NA,NA,NA,0.855,0.391,0.204,0.439,0.737,0.68,0.318,0.785,0,0.103,0.088,0.19,NA,0,0.276,-0.02,0.322,NA,NA,NA,NA,NA,8054.71790455476,"Europe"
"15","Azerbaijan",1955,"AZE",3550019,NA,0.089,0.025,13.59,1.605,13.395,30.554,2.961,10.731,8.607,NA,NA,3.828,NA,NA,0.613,0.173,NA,NA,NA,0.695,201.396,685.666,8.961,0,11.317,503.873,180.423,NA,NA,NA,0,0,1.25,0.352,NA,NA,16.964,4.779,NA,NA,NA,NA,11.637,3.278,NA,NA,NA,0.082,0.183,0.224,0.014,0.051,0.076,0.102,0.004,0,0.156,0.123,0.483,NA,0,0.229,0.274,0.503,NA,NA,NA,NA,NA,NA,"Asie"
"16","Bahamas",1955,"BHS",92458,NA,0,0,0.128,0.044,52.174,0.385,0.081,26.506,4.161,NA,NA,1.387,NA,NA,0,0,NA,NA,NA,0,0.491,1.81,0,0,0,5.936,0.491,NA,NA,NA,0,0,0,0,NA,NA,0.256,2.774,NA,NA,NA,NA,0.128,1.387,NA,NA,NA,0,0.002,0.003,0,0,0,0,0,0,0,0.001,0.001,NA,0,0,0.004,0.006,NA,NA,NA,NA,NA,NA,"Amérique"
"17","Bahrain",1955,"BHR",134883,522835552,0,0,1.403,0.359,34.386,1.403,0.359,34.386,10.404,2.684,NA,10.404,2.684,NA,0,0,NA,NA,NA,0,53.384,53.384,0,0,0,0,53.384,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,1.403,10.404,NA,NA,NA,0,0.019,0.01,0,0,0.02,0.008,0,0,0,0,0.143,NA,0,0,0,0.061,NA,NA,NA,NA,NA,3876.21532735778,"Asie"
"18","Bangladesh",1955,"BGD",44315552,40166604800,0.003,0,1.379,0.041,3.04,63.081,4.364,7.433,1.423,1.57,NA,0.031,0.034,NA,0.517,0.012,NA,NA,NA,0.019,8.114,423.355,3.871,0,0.008,2969.416,4.216,NA,NA,NA,0,0,0.008,0,NA,NA,61.702,1.392,NA,NA,NA,NA,0.851,0.019,NA,NA,NA,0.003,0.019,0.463,0.012,0.001,0.003,0.063,0.002,0,0,0.723,0.011,NA,0,0.001,0.998,0.037,NA,NA,NA,NA,NA,906.377174315689,"Asie"
