"","country","year","iso_code","population","gdp","cement_co2","cement_co2_per_capita","co2","co2_growth_abs","co2_growth_prct","co2_including_luc","co2_including_luc_growth_abs","co2_including_luc_growth_prct","co2_including_luc_per_capita","co2_including_luc_per_gdp","co2_including_luc_per_unit_energy","co2_per_capita","co2_per_gdp","co2_per_unit_energy","coal_co2","coal_co2_per_capita","consumption_co2","consumption_co2_per_capita","consumption_co2_per_gdp","cumulative_cement_co2","cumulative_co2","cumulative_co2_including_luc","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_luc_co2","cumulative_oil_co2","cumulative_other_co2","energy_per_capita","energy_per_gdp","flaring_co2","flaring_co2_per_capita","gas_co2","gas_co2_per_capita","ghg_excluding_lucf_per_capita","ghg_per_capita","land_use_change_co2","land_use_change_co2_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","oil_co2","oil_co2_per_capita","other_co2_per_capita","other_industry_co2","primary_energy_consumption","share_global_cement_co2","share_global_co2","share_global_co2_including_luc","share_global_coal_co2","share_global_cumulative_cement_co2","share_global_cumulative_co2","share_global_cumulative_co2_including_luc","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_luc_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","share_global_flaring_co2","share_global_gas_co2","share_global_luc_co2","share_global_oil_co2","share_global_other_co2","total_ghg","total_ghg_excluding_lucf","trade_co2","trade_co2_share","gdp_per_capita","continent"
"1","Afghanistan",1995,"AFG",16418911,12307525632,0.047,0.003,1.417,-0.037,-2.511,-0.671,1.136,-62.861,-0.041,-0.055,-0.09,0.086,0.115,0.191,0.015,0.001,NA,NA,NA,1.769,66.358,377.871,11.829,5.824,12.578,831.105,34.357,NA,452.46,0.604,0.022,0.001,0.322,0.02,0.729,0.583,-2.088,-0.127,7.83,0.477,2.88,0.175,1.011,0.062,NA,NA,7.429,0.008,0.006,-0.002,0,0.012,0.007,0.025,0.002,0.062,0.013,0.135,0.011,NA,0.009,0.008,-0.039,0.011,NA,9.58,11.97,NA,NA,749.594515251346,"Asie"
"2","Aland Islands",1995,"ALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,NA,NA,NA,"Europe"
"3","Albania",1995,"ALB",3284370,11600734208,0.103,0.031,2.089,0.165,8.59,2.382,-0.091,-3.688,0.725,0.205,0.105,0.636,0.18,0.092,0.161,0.049,2.544,0.775,0.219,9.32,185.716,434.171,59.843,0,15.202,440.852,101.35,NA,6919.917,1.959,0,0,0.051,0.016,2.244,2.308,0.293,0.089,4.09,1.245,1.34,0.408,1.773,0.54,NA,NA,22.728,0.017,0.009,0.008,0.002,0.062,0.02,0.028,0.012,0,0.015,0.072,0.032,NA,0,0.001,0.006,0.019,NA,7.58,7.37,0.455,21.775,3532.10332818775,"Europe"
"4","Algeria",1995,"DZA",28478024,145054695424,3.165,0.111,94.981,8.834,10.254,106.413,12.828,13.707,3.737,0.734,0.34,3.335,0.655,0.303,1.935,0.068,NA,NA,NA,61.101,1649.081,2478.794,75.926,376.048,567.205,1128.622,568.801,NA,10996.017,2.159,15.579,0.547,47.222,1.658,5.03,5.053,11.432,0.401,62.49,2.194,4.28,0.15,27.081,0.951,NA,NA,313.145,0.509,0.405,0.37,0.022,0.406,0.179,0.162,0.016,3.977,0.571,0.184,0.18,NA,6.361,1.122,0.216,0.289,NA,143.9,143.25,NA,NA,5093.56602213693,"Afrique"
"5","American Samoa",1995,"ASM",53421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,42741.773,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,"Océanie"
"6","Andorra",1995,"AND",62944,NA,0,0,0.425,0.018,4.505,0.498,-0.018,-3.546,7.917,NA,NA,6.752,NA,NA,0,0,NA,NA,NA,0,2.462,2.719,0,0,0,0.256,2.462,NA,NA,NA,0,0,0,0,7.308,7.308,0.073,1.164,0.03,0.477,0,0,0.425,6.752,NA,NA,NA,0,0.002,0.002,0,0,0,0,0,0,0,0,0.001,NA,0,0,0.001,0.005,NA,0.46,0.46,NA,NA,NA,"Europe"
"7","Angola",1995,"AGO",13912258,13143744512,0.081,0.006,10.949,7.084,183.319,36.707,7.048,23.763,2.638,2.793,1.44,0.787,0.833,0.429,0,0,NA,NA,NA,6.564,146.453,4099.286,1.601,50.756,9.693,8668.768,77.838,NA,1832.598,1.94,1.403,0.101,1.048,0.075,3.833,5.486,25.758,1.851,32.23,2.317,21.08,1.515,8.416,0.605,NA,NA,25.496,0.013,0.047,0.128,0,0.044,0.016,0.267,0,0.537,0.01,1.412,0.025,NA,0.573,0.025,0.487,0.09,NA,76.32,53.32,NA,NA,944.759974405305,"Afrique"
"8","Anguilla",1995,"AIA",9625,NA,0,0,0.066,0,0,0.066,0,0,6.852,NA,NA,6.852,NA,NA,0,0,NA,NA,NA,0,0.355,0.355,0,0,0,0,0.355,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.066,6.852,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0.001,NA,NA,NA,NA,NA,NA,"Amérique"
"9","Antigua and Barbuda",1995,"ATG",68417,NA,0,0,0.224,0.007,3.39,0.187,0.007,4.082,2.731,NA,0.094,3.267,NA,0.112,0,0,NA,NA,NA,0,11.659,10.743,0,0,0,-7.621,11.659,NA,29078.92,NA,0,0,0,0,6.577,6.577,-0.037,-0.536,0.15,2.192,0.02,0.292,0.224,3.267,NA,NA,1.989,0,0.001,0.001,0,0,0.001,0.001,0,0,0,-0.001,0.004,NA,0,0,-0.001,0.002,NA,0.45,0.45,NA,NA,NA,"Amérique"
"10","Argentina",1995,"ARG",34946116,461601013760,2.621,0.075,127.765,5.536,4.529,162.463,6.489,4.16,4.649,0.352,0.259,3.656,0.277,0.203,3.701,0.106,129.745,3.713,0.281,107.131,4277.968,13521.617,452.646,138.812,820.574,9828.461,2758.805,NA,17976.906,1.361,5.412,0.155,53.195,1.522,7.52,8.818,34.698,0.993,112.63,3.223,37.07,1.061,62.836,1.798,NA,NA,628.223,0.421,0.545,0.565,0.042,0.712,0.463,0.882,0.094,1.468,0.826,1.601,0.873,NA,2.21,1.264,0.656,0.671,NA,308.14,262.79,1.98,1.55,13208.9361163913,"Amérique"
